Name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
" BMW 3 Series Gran Limousine 320Ld Luxury Line",2023,5800000,1000,Diesel,Dealer," Automatic","First Owner","18.15 kmpl","998 CC",118.35bhp,172Nm,5
" MG ZS EV Exclusive",2023,2650000,10000,Electric,Dealer," Automatic","First Owner","32.52 kmpl","998 CC",58.33bhp,78Nm,5
" Maruti S-Presso LXi",2022,425000,1994,Petrol,Dealer," Manual","First Owner","19.47 kmpl","999 CC",113.98bhp,178Nm,5
" Renault KWID CLIMBER",2022,567000,5148,Petrol,Dealer," Manual","First Owner","18.15 kmpl","998 CC",118.35bhp,172Nm,5
" Hyundai Tucson Platinum AT",2021,2975000,3600,Petrol,Dealer," Automatic","First Owner","21.01 kmpl","1197 CC",81.80bhp,113Nm,5
" Maruti Alto 800 LXI Opt",2021,358000,29751,Petrol,Dealer," Manual","First Owner","19.03 kmpl","999 CC",71.01bhp,96Nm,5
"Honda Civic ZX Diesel BSIV",2020,2125000,5500,Diesel,Dealer,Manual,"First Owner","26.8 kmpl","1597 CC","118 bhp","300Nm@ 2000rpm",5
"Honda Civic ZX Diesel BSIV",2020,2125000,5500,Diesel,Dealer,Manual,"First Owner","26.8 kmpl","1597 CC","118 bhp","300Nm@ 2000rpm",5
"Hyundai Creta 1.6 CRDi AT SX Plus",2020,1950000,2700,Diesel,Dealer,Automatic,"First Owner","17.01 kmpl","1582 CC","126.2 bhp","259.9Nm@ 1900-2750rpm",5
"Hyundai Grand i10 Nios Sportz",2020,775000,2000,Petrol,Dealer,Manual,"First Owner","20.7 kmpl","1197 CC","81.86 bhp","113.75Nm@ 4000rpm",5
"Kia Seltos HTX Plus AT D",2020,1900000,5000,Diesel,Dealer,Automatic,"First Owner","17.8 kmpl","1493 CC","113.4 bhp","250nm@ 1500-2750rpm",5
"Kia Seltos HTX Plus AT D",2020,1900000,5000,Diesel,Dealer,Automatic,"First Owner","17.8 kmpl","1493 CC","113.4 bhp","250nm@ 1500-2750rpm",5
"MG Hector Sharp DCT Dualtone",2020,1900000,1600,Petrol,Dealer,Automatic,"First Owner","13.96 kmpl","1451 CC","141 bhp","250Nm@ 1600-3600rpm",5
"Tata Harrier XZ Plus",2020,1650000,16000,Diesel,Dealer,Manual,"First Owner","17.0 kmpl","1956 CC","167.67 bhp","350Nm@ 1750-2500rpm",5
"Toyota Innova Crysta 2.4 G MT 8 STR",2020,1560000,20102,Diesel,Dealer,Manual,"First Owner","13.68 kmpl","2393 CC","147.51 bhp","343Nm@ 1400-2800rpm",8
"Audi A6 35 TFSI Matrix",2019,6223000,7800,Petrol,Dealer,Automatic,"Test Drive Car","15.26 kmpl","1798 CC","187.74 bhp","320Nm@ 1400-4100rpm",5
"Audi A6 35 TFSI Matrix",2019,5923000,11500,Petrol,Dealer,Automatic,"Test Drive Car","15.26 kmpl","1798 CC","187.74 bhp","320Nm@ 1400-4100rpm",5
"Audi A6 35 TFSI Matrix",2019,6523000,23600,Petrol,Dealer,Automatic,"Test Drive Car","15.26 kmpl","1798 CC","187.74 bhp","320Nm@ 1400-4100rpm",5
"BMW 5 Series 520d Luxury Line",2019,5200000,10000,Diesel,Dealer,Automatic,"First Owner","18.12 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW 5 Series 520d Luxury Line",2019,5200000,10000,Diesel,Dealer,Automatic,"First Owner","18.12 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5800000,7500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
